file,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
ISIC_0032843,0.4671765706723801,0.002626010968728579,0.7181666666666666,15672.582796296296,0.6517083889139891,0.2505296296296296
ISIC_0032844,0.026311878889198476,0.00020761958756328623,0.2117740740740741,49591.06277037037,0.16274594125340355,0.7765703703703704
ISIC_0032845,0.9055182215844017,0.0037857283084869555,0.9595148148148148,1949.8277925925927,0.9361169826829616,0.02535925925925926
ISIC_0032846,0.4800895658544002,0.002825023491029245,0.8527962962962963,6783.105681481481,0.7813845970145838,0.1393148148148148
ISIC_0032847,0.8709125149803116,0.003744487838971565,0.9588851851851852,1771.660951851852,0.9382759269443703,0.027925925925925927
ISIC_0032848,0.014056929432403373,0.00011025650809678846,0.02071111111111111,63151.41783333333,0.0036321571108095634,0.9679222222222222
ISIC_0032849,0.46170138038931874,0.002761389434459729,0.8064851851851852,8859.237874074073,0.7111072344474815,0.18732592592592592
ISIC_0032850,0.17738646744095002,0.0012970347289710886,0.6239037037037037,21181.528837037036,0.5133020414315177,0.37355185185185186
ISIC_0032851,0.011038163780136832,8.751708398585103e-05,0.06461851851851852,59614.97742222222,0.028836813240991615,0.9278037037037037
ISIC_0032852,0.014741895684780624,0.00011515122893875288,0.010551851851851852,63936.63919259259,-0.003507078785086017,0.9789925925925926
ISIC_0032853,0.6897819283691818,0.003412993820001198,0.8818222222222222,5299.572474074074,0.818425247449586,0.09251851851851851
ISIC_0032854,0.29730308917182613,0.0019265906675147446,0.36468518518518517,35895.788044444445,0.2378112809127439,0.5586518518518518
ISIC_0032855,0.06210737411810187,0.0005231086369244997,0.7098222222222222,16023.513137037036,0.6580989991942878,0.28753703703703704
ISIC_0032856,0.038745295481169464,0.0003010184862207311,0.1277222222222222,55064.911044444445,0.07736377045581933,0.8570333333333333
ISIC_0032857,0.32180829312177966,0.0021331587664300254,0.748862962962963,12790.610985185185,0.6578722638529971,0.2456962962962963
ISIC_0032858,0.07453687748514932,0.0005506197983569198,0.05266666666666667,60877.16765555555,0.02256333977070995,0.9249592592592593
ISIC_0032859,0.011548380469396251,9.2989011624323e-05,0.3179925925925926,42699.51811851852,0.25807513268569743,0.6771296296296296
ISIC_0032860,0.37431434065378,0.0023436515105656475,0.7549814814814815,12580.663166666667,0.6861544536057117,0.22897777777777778
ISIC_0032861,0.040124964953738934,0.0003070505133188524,0.09825185185185185,57830.383588888886,0.05977581890710637,0.8876
