file,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
ISIC_0026218,0.0029708179033040034,2.8093619646336446e-05,0.28196666666666664,38028.32267407407,0.157916124934886,0.7159629629629629
ISIC_0026219,0.04921452871723034,0.0004145725387099785,0.2720074074074074,41538.133874074076,0.18408541872233006,0.7038629629629629
ISIC_0026220,0.002941671512072712,2.3463201492515908e-05,0.03209259259259259,61695.06144444444,0.00788862913076438,0.9653592592592593
ISIC_0026221,0.3980225868314511,0.0026787848534444024,0.7191481481481482,10972.87454074074,0.6045485886856317,0.26158148148148147
ISIC_0026222,0.8393803929722424,0.0036714990099998403,0.9225,3952.3366814814813,0.8917992104329279,0.0515
ISIC_0026223,0.006789019022425167,5.9630648630090695e-05,0.32606666666666667,38524.80428888889,0.2437155613897435,0.6702555555555556
ISIC_0026224,0.20104609557220665,0.001628033549924994,0.5210185185185185,21461.73498888889,0.36549088428841037,0.4656037037037037
ISIC_0026225,0.8207923998704524,0.0037488896062522585,0.9392370370370371,1577.1876259259259,0.899392562547015,0.049185185185185186
ISIC_0026226,0.023811002432334524,0.00021844275997323423,0.2902925925925926,37769.17931111111,0.16793631369958475,0.6986259259259259
ISIC_0026227,0.022493337281610896,0.00018692410285904795,0.06686296296296296,55861.1006037037,0.007643488383124057,0.9169555555555555
ISIC_0026228,0.46417365096403945,0.0031726246885383598,0.7974481481481481,5028.803933333334,0.6627332729321516,0.19227037037037037
ISIC_0026229,0.1173814642121836,0.0008578446930751176,0.07434814814814815,57660.25397037037,0.03134664732499025,0.8637370370370371
